"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Compravendes","Nombre"
2023,1,1,"Ciutat Vella",1,"el Raval","Habitatge usat","157"
2023,1,1,"Ciutat Vella",2,"el Barri Gòtic","Habitatge usat","72"
2023,1,1,"Ciutat Vella",3,"la Barceloneta","Habitatge usat","54"
2023,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Habitatge usat","90"
2023,1,2,"Eixample",5,"el Fort Pienc","Habitatge usat","62"
2023,1,2,"Eixample",6,"la Sagrada Família","Habitatge usat","107"
2023,1,2,"Eixample",7,"la Dreta de l'Eixample","Habitatge usat","130"
2023,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Habitatge usat","96"
2023,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Habitatge usat","77"
2023,1,2,"Eixample",10,"Sant Antoni","Habitatge usat","79"
2023,1,3,"Sants-Montjuïc",11,"el Poble Sec","Habitatge usat","142"
2023,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Habitatge usat","3"
2023,1,3,"Sants-Montjuïc",13,"la Marina de Port","Habitatge usat","73"
2023,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Habitatge usat","19"
2023,1,3,"Sants-Montjuïc",15,"Hostafrancs","Habitatge usat","34"
2023,1,3,"Sants-Montjuïc",16,"la Bordeta","Habitatge usat","38"
2023,1,3,"Sants-Montjuïc",17,"Sants - Badal","Habitatge usat","55"
2023,1,3,"Sants-Montjuïc",18,"Sants","Habitatge usat","100"
2023,1,4,"Les Corts",19,"les Corts","Habitatge usat","88"
2023,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Habitatge usat","34"
2023,1,4,"Les Corts",21,"Pedralbes","Habitatge usat","28"
2023,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Habitatge usat","10"
2023,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Habitatge usat","54"
2023,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Habitatge usat","33"
2023,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Habitatge usat","31"
2023,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Habitatge usat","91"
2023,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Habitatge usat","48"
2023,1,6,"Gràcia",28,"Vallcarca i els Penitents","Habitatge usat","24"
2023,1,6,"Gràcia",29,"el Coll","Habitatge usat","16"
2023,1,6,"Gràcia",30,"la Salut","Habitatge usat","33"
2023,1,6,"Gràcia",31,"la Vila de Gràcia","Habitatge usat","142"
2023,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Habitatge usat","102"
2023,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Habitatge usat","30"
2023,1,7,"Horta-Guinardó",34,"Can Baró","Habitatge usat","14"
2023,1,7,"Horta-Guinardó",35,"el Guinardó","Habitatge usat","68"
